jahr,geber,politikbereich,betrag,plz,name
2009,29,28,960520,33,A - Medialynx GmbH TV-Produktion
2015,16,02,19966,143,A & QUA gGmbH
2015,16,02,12446,143,A & QUA gGmbH
2015,16,02,4711,143,A & QUA gGmbH
2015,16,02,27861,143,A & QUA gGmbH
2015,16,02,28555,143,A & QUA gGmbH
2015,16,02,32792,143,A & QUA gGmbH
2015,16,02,52500,143,A & QUA gGmbH
2015,16,02,40000,143,A & QUA gGmbH
2015,16,02,39375,143,A & QUA gGmbH
2012,16,02,12575,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,1792,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,1135,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,1732,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,30020,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,287,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,2620,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,7409,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,4729,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,6305,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,732,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,5580,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,1732,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,17732,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,1840,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
2012,16,02,8660,23,A & Qua GmbH Gesellschaft für Bildung, Arbeit und Qualifizierung
